city,d,kappa,generator,K,D,Kprime,L1,h1,Bmax,Btheory
Amsterdam,46472711,2,eps25,15,1,15,347.6519748986228,46,353.48053169991425,434.56496862327856
Amsterdam,46254018,2,ipsp_rho4,3,1,3,173.73464457434713,21,337.854543185447,3451.754313189554
Amsterdam,46254018,2,ipsp_rho4,5,2,5,173.73464457434713,21,380.3486247159096,65980.06901103287
Amsterdam,46254018,2,ipsp_rho4,15,2,15,173.73464457434713,21,903.6089524877099,125556562603.3128
Amsterdam,46254018,2,ipsp_rho125,3,1,3,173.73464457434713,21,250.89539651715225,337.08538214741736
Amsterdam,46254018,2,ipsp_rho125,5,1,5,173.73464457434713,21,263.63849146118406,629.2349721053397
Amsterdam,46254018,2,ipsp_rho125,15,2,15,173.73464457434713,21,386.47113957748155,10635.05452690031
Amsterdam,46254018,2,yen,3,1,3,173.73464457434713,21,176.56688164299982,176.56688164299982
Amsterdam,46254018,2,eps10,3,1,3,173.73464457434713,21,176.56688164299982,191.10810903178185
Amsterdam,46254018,2,eps25,3,1,3,173.73464457434713,21,176.56688164299982,217.16830571793392
Amsterdam,46254018,2,yen,5,1,5,173.73464457434713,21,180.20549124624145,180.20549124624145
Amsterdam,46254018,2,eps10,5,1,5,173.73464457434713,21,180.20549124624145,191.10810903178185
Amsterdam,46254018,2,eps25,5,1,5,173.73464457434713,21,180.20549124624145,217.16830571793392
Amsterdam,46254018,2,yen,15,1,15,173.73464457434713,21,197.23674849587312,197.23674849587312
Amsterdam,46254018,2,eps10,15,1,6,173.73464457434713,21,180.48003853909583,191.10810903178185
Amsterdam,46254018,2,eps25,15,1,15,173.73464457434713,21,197.23674849587312,217.16830571793392
Amsterdam,46296489,5,ipsp_rho4,3,2,3,52.956902681937365,9,151.84268154445414,1135.3104429109978
Amsterdam,46296489,5,ipsp_rho4,5,4,5,52.956902681937365,9,331.8382614860203,22772.967086575965
Amsterdam,46296489,5,ipsp_rho4,15,5,15,52.956902681937365,9,640.2959303791131,48038377775.77348
Amsterdam,46296489,5,ipsp_rho125,3,1,3,52.956902681937365,9,58.328997629317875,110.87016044052713
Amsterdam,46296489,5,ipsp_rho125,5,2,5,52.956902681937365,9,152.34126124204684,217.17993818832363
Amsterdam,46296489,5,ipsp_rho125,15,4,15,52.956902681937365,9,331.8382614860203,4069.0088708728895
Amsterdam,46296489,5,yen,3,1,3,52.956902681937365,9,53.45548237953005,53.45548237953005
Amsterdam,46296489,5,eps10,3,1,3,52.956902681937365,9,53.45548237953005,58.2525929501311
Amsterdam,46296489,5,eps25,3,1,3,52.956902681937365,9,53.45548237953005,66.19612835242171
Amsterdam,46296489,5,yen,5,1,5,52.956902681937365,9,53.73002967238443,53.73002967238443
Amsterdam,46296489,5,eps10,5,1,5,52.956902681937365,9,53.73002967238443,58.2525929501311
Amsterdam,46296489,5,eps25,5,1,5,52.956902681937365,9,53.73002967238443,66.19612835242171
Amsterdam,46296489,5,yen,15,1,15,52.956902681937365,9,75.89189323709198,75.89189323709198
Amsterdam,46296489,5,eps10,15,1,6,52.956902681937365,9,53.84366289720679,58.2525929501311
Amsterdam,46296489,5,eps25,15,1,9,52.956902681937365,9,59.43979024932562,66.19612835242171
Amsterdam,1625112157,2,ipsp_rho4,3,2,3,141.797802186671,23,234.4578535375976,3004.764834986736
Amsterdam,1625112157,2,ipsp_rho4,5,2,5,141.797802186671,23,244.18960036237883,59852.237359787774
Amsterdam,1625112157,2,ipsp_rho4,15,2,15,141.797802186671,23,655.5101927709874,124499774521.77682
Amsterdam,1625112157,2,ipsp_rho125,3,2,3,141.797802186671,23,170.74842503134164,293.43406591667343
Amsterdam,1625112157,2,ipsp_rho125,5,2,5,141.797802186671,23,205.55008920062593,570.7954154948022
Amsterdam,1625112157,2,ipsp_rho125,15,2,15,141.797802186671,23,327.3180196152213,10545.541094567647
Amsterdam,46335125,1,ipsp_rho4,3,1,3,165.61004230188513,22,220.42956085414198,3353.760676830162
Amsterdam,46335125,1,ipsp_rho4,5,1,5,165.61004230188513,22,406.3720466232567,64924.17082928259
Amsterdam,46335125,1,ipsp_rho4,15,1,15,165.61004230188513,22,714.5359613276242,127133727671.48582
