city,orientation,k,d,w,kappa,outdeg,cut_first,cut_hops
Amsterdam,AD,1,46245091,0.02197802197802198,2,4,-1,-1
Amsterdam,AD,1,46262650,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,46283554,0.024725274725274724,1,1,-1,-1
Amsterdam,AD,1,46301596,0.0027472527472527475,3,3,-1,-1
Amsterdam,AD,1,9994804154,0.019230769230769232,1,1,-1,-1
Amsterdam,AD,1,46342860,0.04120879120879121,2,4,-1,-1
Amsterdam,AD,1,46361036,0.016483516483516484,3,3,-1,-1
Amsterdam,AD,1,46383470,0.005494505494505495,1,3,-1,-1
Amsterdam,AD,1,12631632169,0.019230769230769232,1,1,-1,-1
Amsterdam,AD,1,4333085459,0.027472527472527472,2,2,-1,-1
Amsterdam,AD,1,46483761,0.054945054945054944,3,3,-1,-1
Amsterdam,AD,1,46511089,0.01098901098901099,1,1,-1,-1
Amsterdam,AD,1,8942712546,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,46183572,0.016483516483516484,50,0,-1,-1
Amsterdam,AD,1,46183572,0.008241758241758242,50,0,-1,-1
Amsterdam,AD,1,46183572,0.008241758241758242,50,0,-1,-1
Amsterdam,AD,1,1525015190,0.008241758241758242,0,1,-1,-1
Amsterdam,AD,1,1525015190,0.1565934065934066,0,1,-1,-1
Amsterdam,AD,1,1525015190,0.024725274725274724,0,1,-1,-1
Amsterdam,AD,1,1525015190,0.0027472527472527475,0,1,-1,-1
Amsterdam,AD,1,46245850,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,7124646368,0.019230769230769232,1,1,-1,-1
Amsterdam,AD,1,4821599020,0.01098901098901099,1,1,-1,-1
Amsterdam,AD,1,46342863,0.005494505494505495,2,2,-1,-1
Amsterdam,AD,1,1833960246,0.0027472527472527475,1,3,-1,-1
Amsterdam,AD,1,5213036077,0.027472527472527472,1,1,-1,-1
Amsterdam,AD,1,46483277,0.09615384615384616,4,4,-1,-1
Amsterdam,AD,1,6149973645,0.01098901098901099,2,2,-1,-1
Amsterdam,AD,1,46183572,0.02197802197802198,50,0,-1,-1
Amsterdam,AD,1,46183572,0.01098901098901099,50,0,-1,-1
Amsterdam,AD,1,1525015190,0.016483516483516484,0,1,-1,-1
Amsterdam,AD,1,1525015190,0.04120879120879121,0,1,-1,-1
Amsterdam,AD,1,3295119971,0.1510989010989011,1,0,-1,-1
Amsterdam,AD,1,6472987925,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,4921687164,0.005494505494505495,2,3,-1,-1
Amsterdam,AD,1,46359172,0.01098901098901099,2,3,-1,-1
Amsterdam,AD,1,9794426407,0.0027472527472527475,1,3,-1,-1
Amsterdam,AD,1,8718272188,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,1420479344,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46483810,0.01098901098901099,4,4,-1,-1
Amsterdam,AD,1,46183572,0.005494505494505495,50,0,-1,-1
Amsterdam,AD,1,1525015190,0.0027472527472527475,0,1,-1,-1
Amsterdam,AD,1,1525015190,0.027472527472527472,0,1,-1,-1
Amsterdam,AD,1,46241980,0.008241758241758242,0,2,-1,-1
Amsterdam,AD,1,1511600045,0.005494505494505495,1,2,-1,-1
Amsterdam,AD,1,1673410150,0.02197802197802198,2,4,-1,-1
Amsterdam,AD,1,3752782350,0.008241758241758242,2,3,-1,-1
Amsterdam,AD,1,46463601,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,46241980,0.0027472527472527475,0,2,-1,-1
Amsterdam,AD,1,46247628,0.054945054945054944,50,1,-1,-1
Amsterdam,AD,1,46247628,0.016483516483516484,50,1,-1,-1
Amsterdam,AD,1,5856758093,0.005494505494505495,2,3,-1,-1
Amsterdam,AD,1,1585496185,0.008241758241758242,3,3,-1,-1
Amsterdam,AD,1,10006078012,0.0027472527472527475,1,3,-1,-1
Amsterdam,AD,1,3295119971,0.02197802197802198,1,0,-1,-1
Amsterdam,AD,1,46241980,0.019230769230769232,0,2,-1,-1
Amsterdam,AD,1,46247628,0.0027472527472527475,50,1,-1,-1
Amsterdam,AD,1,46247628,0.0521978021978022,50,1,-1,-1
Amsterdam,AD,1,46247628,0.013736263736263736,50,1,-1,-1
Amsterdam,AD,1,46248282,0.008241758241758242,1,3,-1,-1
Amsterdam,AD,1,1638916771,0.013736263736263736,2,3,-1,-1
Amsterdam,AD,1,46375408,0.0027472527472527475,1,1,-1,-1
