expH,rpe_prime,Li_div,Deng_pm,city,d,kappa
1.0,1.0,0.941558274686834,15.0,Amsterdam,46346468,2
1.0,1.0,0.9807672132529559,15.0,Amsterdam,7042586056,2
1.0,1.0,0.9591762967514741,15.0,Amsterdam,2296170442,1
1.0040088759643702,1.0008050867695342,0.9355524773358882,15.0,Amsterdam,1891957960,1
1.0,1.0,0.9593839847544409,15.0,Amsterdam,4625767495,3
1.0143739176415665,1.0035794746948337,0.9377599094307054,15.0,Amsterdam,3306416557,1
1.0,1.0,0.9636575411899743,15.0,Amsterdam,46472779,2
1.0,1.0,0.966120859666053,15.0,Amsterdam,7926245407,2
1.0,1.0,0.9303376264568631,15.0,Amsterdam,7920375542,2
1.0150827829213178,1.0033229863874098,0.8561522296033672,15.0,Amsterdam,8011011931,1
1.0,1.0,0.9821611626722131,15.0,Amsterdam,46555663,2
1.0,1.0,0.9804551894038588,15.0,Amsterdam,2304048772,2
1.0,1.0,0.9713590717355588,15.0,Amsterdam,46185495,1
1.0000000000620215,1.0000000000041465,0.9743617502413697,15.0,Amsterdam,46202403,2
1.0,1.0,0.9514672839951723,15.0,Amsterdam,8792828688,1
1.0000000006159842,1.0000000000484182,0.9796582466396582,15.0,Amsterdam,46246148,3
1.0,1.0,0.9573610813982298,15.0,Amsterdam,1350096134,1
1.0000002449814636,1.0000000078619078,0.9719043591380102,15.0,Amsterdam,1976839543,2
1.0320174185354916,1.006972097723981,0.9738032235510048,15.0,Amsterdam,46305900,4
1.000000497855079,1.0000000506588247,0.9740031309522521,15.0,Amsterdam,6933008649,3
1.0001468231043147,1.0000237965136727,0.9710238054348936,15.0,Amsterdam,46346389,2
2.0000000111685297,1.000000000311342,0.9336497448572093,15.0,Amsterdam,4628978320,1
1.0000000009645806,1.0000000000772051,0.9483649323984368,15.0,Amsterdam,46386984,2
2.4758558645970874,1.0804436581435166,0.9167362912291631,15.0,Amsterdam,26585460,1
1.0,1.0,0.9608700309197783,15.0,Amsterdam,46430099,2
1.053568468730168,1.0110312909385402,0.9602544774502978,15.0,Amsterdam,46451017,2
1.0,1.0,0.9576487662039697,15.0,Amsterdam,46470161,1
1.0,1.0,0.9358983028371934,15.0,Amsterdam,5705913800,1
1.0004612274261178,1.0000662354365575,0.8320761508374992,15.0,Amsterdam,7916552429,1
1.0,1.0,0.977114037175049,15.0,Amsterdam,1724068248,3
1.0,1.0,0.9730843360042256,15.0,Amsterdam,46173228,2
1.0,1.0,0.9689479134565038,15.0,Amsterdam,46186730,1
1.0,1.0,0.9732419749695611,15.0,Amsterdam,46203826,2
1.0,1.0,0.9703575989709243,15.0,Amsterdam,401352873,2
1.0000009499833,1.0000001024446115,0.9584223367011182,15.0,Amsterdam,295085734,1
1.0,1.0,0.9487171019582678,15.0,Amsterdam,10894631392,1
1.0000575086909487,1.0000082927986675,0.9475490527874916,15.0,Amsterdam,617025696,1
1.0221063963257484,1.006167781548586,0.964437317772653,15.0,Amsterdam,46307158,3
1.0000004371691678,1.0000000221638263,0.8638175864212418,15.0,Amsterdam,8745641794,1
